date,b_list,c_list,d_list,e_list,g_list,h_list
2021/12/9 15:29,3,0,2,24,2,2
2021/12/9 15:29,7,1,0,36,-3,8
2021/12/9 15:29,11,4,-2,48,-8,14
2021/12/9 15:29,15,9,-4,60,-13,20
2021/12/9 15:29,19,16,-6,72,-18,26
2021/12/9 15:29,23,25,-8,84,-23,32
2021/12/9 15:29,27,36,-10,96,-28,38
2021/12/9 15:29,31,49,-12,108,-33,44
2021/12/9 15:29,35,64,-14,120,-38,50
2021/12/9 15:29,39,81,-16,132,-43,56
2021/12/9 15:29,43,100,-18,144,-48,62
2021/12/9 15:29,47,121,-20,156,-53,68
2021/12/9 15:29,51,144,-22,168,-58,74
2021/12/9 15:29,55,169,-24,180,-63,80
2021/12/9 15:29,59,196,-26,192,-68,86
2021/12/9 15:29,63,225,-28,204,-73,92
2021/12/9 15:29,67,256,-30,216,-78,98
2021/12/9 15:29,71,289,-32,228,-83,104
2021/12/9 15:29,75,324,-34,240,-88,110
2021/12/9 15:29,79,361,-36,252,-93,116
2021/12/9 15:29,83,400,-38,264,-98,122
2021/12/9 15:29,87,441,-40,276,-103,128
2021/12/9 15:29,91,484,-42,288,-108,134
2021/12/9 15:29,95,529,-44,300,-113,140
2021/12/9 15:29,99,576,-46,312,-118,146
2021/12/9 15:29,103,625,-48,324,-123,152
2021/12/9 15:29,107,676,-50,336,-128,158
2021/12/9 15:29,111,729,-52,348,-133,164
2021/12/9 15:29,115,784,-54,360,-138,170
2021/12/9 15:29,119,841,-56,372,-143,176
2021/12/9 15:29,123,900,-58,384,-148,182
2021/12/9 15:29,127,961,-60,396,-153,188
2021/12/9 15:29,131,1024,-62,408,-158,194
2021/12/9 15:29,135,1089,-64,420,-163,200
2021/12/9 15:29,139,1156,-66,432,-168,206
2021/12/9 15:29,143,1225,-68,444,-173,212
2021/12/9 15:29,147,1296,-70,456,-178,218
2021/12/9 15:29,151,1369,-72,468,-183,224
2021/12/9 15:29,155,1444,-74,480,-188,230
2021/12/9 15:29,159,1521,-76,492,-193,236
2021/12/9 15:29,163,1600,-78,504,-198,242
2021/12/9 15:29,167,1681,-80,516,-203,248
2021/12/9 15:29,171,1764,-82,528,-208,254
2021/12/9 15:29,175,1849,-84,540,-213,260
2021/12/9 15:29,179,1936,-86,552,-218,266
2021/12/9 15:29,183,2025,-88,564,-223,272
2021/12/9 15:29,187,2116,-90,576,-228,278
2021/12/9 15:29,191,2209,-92,588,-233,284
2021/12/9 15:29,195,2304,-94,600,-238,290
2021/12/9 15:29,199,2401,-96,612,-243,296
2021/12/9 15:29,203,2500,-98,624,-248,302
2021/12/9 15:29,207,2601,-100,636,-253,308
2021/12/9 15:29,211,2704,-102,648,-258,314
2021/12/9 15:29,215,2809,-104,660,-263,320
2021/12/9 15:29,219,2916,-106,672,-268,326
2021/12/9 15:29,223,3025,-108,684,-273,332
2021/12/9 15:29,227,3136,-110,696,-278,338
2021/12/9 15:29,231,3249,-112,708,-283,344
2021/12/9 15:29,235,3364,-114,720,-288,350
2021/12/9 15:29,239,3481,-116,732,-293,356
2021/12/9 15:29,243,3600,-118,744,-298,362
2021/12/9 15:29,247,3721,-120,756,-303,368
2021/12/9 15:29,251,3844,-122,768,-308,374
2021/12/9 15:29,255,3969,-124,780,-313,380
2021/12/9 15:29,259,4096,-126,792,-318,386
2021/12/9 15:29,263,4225,-128,804,-323,392
2021/12/9 15:29,267,4356,-130,816,-328,398
2021/12/9 15:29,271,4489,-132,828,-333,404
2021/12/9 15:29,275,4624,-134,840,-338,410
2021/12/9 15:29,279,4761,-136,852,-343,416
2021/12/9 15:29,283,4900,-138,864,-348,422
2021/12/9 15:29,287,5041,-140,876,-353,428
2021/12/9 15:29,291,5184,-142,888,-358,434
2021/12/9 15:29,295,5329,-144,900,-363,440
2021/12/9 15:29,299,5476,-146,912,-368,446
2021/12/9 15:29,303,5625,-148,924,-373,452
2021/12/9 15:29,307,5776,-150,936,-378,458
2021/12/9 15:29,311,5929,-152,948,-383,464
2021/12/9 15:29,315,6084,-154,960,-388,470
2021/12/9 15:29,319,6241,-156,972,-393,476
2021/12/9 15:29,323,6400,-158,984,-398,482
2021/12/9 15:29,327,6561,-160,996,-403,488
2021/12/9 15:29,331,6724,-162,1008,-408,494
2021/12/9 15:29,335,6889,-164,1020,-413,500
2021/12/9 15:29,339,7056,-166,1032,-418,506
2021/12/9 15:29,343,7225,-168,1044,-423,512
2021/12/9 15:29,347,7396,-170,1056,-428,518
2021/12/9 15:29,351,7569,-172,1068,-433,524
2021/12/9 15:29,355,7744,-174,1080,-438,530
2021/12/9 15:29,359,7921,-176,1092,-443,536
2021/12/9 15:29,363,8100,-178,1104,-448,542
2021/12/9 15:29,367,8281,-180,1116,-453,548
2021/12/9 15:29,371,8464,-182,1128,-458,554
2021/12/9 15:29,375,8649,-184,1140,-463,560
2021/12/9 15:29,379,8836,-186,1152,-468,566
2021/12/9 15:29,383,9025,-188,1164,-473,572
2021/12/9 15:29,387,9216,-190,1176,-478,578
2021/12/9 15:29,391,9409,-192,1188,-483,584
2021/12/9 15:29,395,9604,-194,1200,-488,590
2021/12/9 15:29,399,9801,-196,1212,-493,596
2021/12/9 15:29,403,10000,-198,1224,-498,602
2021/12/9 15:29,407,10201,-200,1236,-503,608
2021/12/9 15:29,411,10404,-202,1248,-508,614
2021/12/9 15:29,415,10609,-204,1260,-513,620
2021/12/9 15:29,419,10816,-206,1272,-518,626
2021/12/9 15:29,423,11025,-208,1284,-523,632
2021/12/9 15:29,427,11236,-210,1296,-528,638
2021/12/9 15:29,431,11449,-212,1308,-533,644
2021/12/9 15:29,435,11664,-214,1320,-538,650
2021/12/9 15:29,439,11881,-216,1332,-543,656
2021/12/9 15:29,443,12100,-218,1344,-548,662
2021/12/9 15:29,447,12321,-220,1356,-553,668
2021/12/9 15:29,451,12544,-222,1368,-558,674
2021/12/9 15:29,455,12769,-224,1380,-563,680
2021/12/9 15:29,459,12996,-226,1392,-568,686
2021/12/9 15:29,463,13225,-228,1404,-573,692
2021/12/9 15:29,467,13456,-230,1416,-578,698
2021/12/9 15:29,471,13689,-232,1428,-583,704
2021/12/9 15:29,475,13924,-234,1440,-588,710
2021/12/9 15:29,479,14161,-236,1452,-593,716
2021/12/9 15:29,483,14400,-238,1464,-598,722
2021/12/9 15:29,487,14641,-240,1476,-603,728
